Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2016-09-15,92250.0,92250.0,92250.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-09-22,92250.0,92250.0,92250.0,4.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-03,92250.0,92250.0,92250.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-01-12,92250.0,92250.0,92250.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-02-02,92250.0,92250.0,92250.0,14.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-02-09,92250.0,92250.0,92250.0,19.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-02-23,92250.0,92250.0,92250.0,11.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-03-16,92250.0,92250.0,92250.0,28.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-03-23,92250.0,92250.0,92250.0,158.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-06-08,61500.0,61500.0,61500.0,183.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-06-15,61500.0,61500.0,61500.0,4.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-08-10,61500.0,61500.0,61500.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-09-13,61500.0,61500.0,61500.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-10-14,61500.0,61500.0,61500.0,10.0,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY
2024-03-07,61500.0,61500.0,61500.0,1.0,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY
2024-03-14,61500.0,61500.0,61500.0,2.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY
2024-10-03,61500.0,61500.0,61500.0,9.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY
