Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-03-09,1000.0,1000.0,1000.0,54.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-07,1000.0,1000.0,1000.0,43.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-06,1000.0,1000.0,1000.0,88.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-04,1000.0,1000.0,1000.0,43.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-02,1000.0,1000.0,1000.0,35.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-07-01,1000.0,1000.0,1000.0,51.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-12-28,1500.0,1500.0,1500.0,197.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-01-27,1500.0,1500.0,1500.0,43.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-02-26,1500.0,1500.0,1500.0,56.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-11-23,1500.0,1500.0,1500.0,222.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-02-16,1800.0,1800.0,1800.0,75.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-04-17,1800.0,1800.0,1800.0,38.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-07-16,1800.0,1800.0,1800.0,27.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-09-14,1800.0,1800.0,1800.0,47.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL
2020-01-12,1800.0,1800.0,1800.0,178.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL
