Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-10,308.0,308.0,308.0,700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-24,308.0,308.0,308.0,818.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-01,308.0,308.0,308.0,493.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-08,308.0,308.0,308.0,719.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-15,308.0,308.0,308.0,706.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-19,308.0,308.0,308.0,400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-23,308.0,308.0,308.0,360.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-02,308.0,308.0,308.0,105.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-16,308.0,308.0,308.0,4.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-30,308.0,308.0,308.0,331.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-13,300.0,300.0,300.0,52.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-18,308.0,308.0,308.0,669.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-01,300.0,300.0,300.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-08,308.0,308.0,308.0,800.0,51.85185185185185,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,95.44353783973067,SELL,306.85714285714283,306.3811950617284,306.1714285714286,BUY,BUY,BUY
2015-11-23,308.0,308.0,308.0,130.0,51.85185185185185,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,95.44353783973067,SELL,306.85714285714283,306.5970357201646,306.3238095238095,BUY,BUY,BUY
2015-11-30,308.0,308.0,308.0,381.0,51.85185185185185,HOLD,100.0,100.0,SELL,-0.0,SELL,,HOLD,95.44353783973067,SELL,306.85714285714283,306.7840976241427,306.4761904761905,BUY,BUY,BUY
2015-12-07,308.0,308.0,308.0,200.0,51.85185185185185,HOLD,100.0,100.0,SELL,-0.0,SELL,,HOLD,95.44353783973067,SELL,306.85714285714283,306.9462179409237,306.6285714285714,BUY,BUY,BUY
2016-06-06,160.0,256.0,160.0,766.0,6.539948982023105,BUY,0.0,66.66666666666667,BUY,-100.0,BUY,,HOLD,72.8440697831673,HOLD,296.2857142857143,287.35338888213386,287.04761904761904,SELL,SELL,SELL
2016-07-18,256.0,256.0,160.0,326.0,41.96610089240629,HOLD,64.86486486486487,54.95495495495496,HOLD,-35.13513513513514,HOLD,,HOLD,75.70085918276794,HOLD,292.57142857142856,283.1729370311827,281.67619047619047,SELL,SELL,SELL
2016-09-12,256.0,256.0,256.0,240.0,41.96610089240629,HOLD,64.86486486486487,43.24324324324325,HOLD,-35.13513513513514,HOLD,-121.49826880705083,BUY,77.6767232936468,HOLD,288.85714285714283,279.54987876035835,276.8,SELL,SELL,SELL
2016-10-17,308.0,308.0,263.0,100.0,53.12747766653579,HOLD,100.0,76.57657657657658,SELL,-0.0,SELL,-2.69328263624849,HOLD,78.51005493777456,HOLD,288.85714285714283,283.34322825897726,279.35238095238094,BUY,BUY,BUY
2016-10-24,320.0,320.0,320.0,5.0,55.26563604396999,HOLD,100.0,88.2882882882883,SELL,-0.0,SELL,80.04385964912282,HOLD,78.5537732298522,HOLD,289.7142857142857,288.230797824447,283.5047619047619,BUY,BUY,BUY
2016-11-28,320.0,320.0,320.0,995.0,55.26563604396999,HOLD,100.0,100.0,SELL,-0.0,SELL,77.29244114002478,HOLD,78.5537732298522,HOLD,290.57142857142856,292.4666914478541,287.54285714285714,BUY,BUY,BUY
2016-12-05,199.0,256.0,199.0,5.636,36.040025889516926,HOLD,24.375,74.79166666666667,HOLD,-75.625,HOLD,-177.68797452853303,BUY,78.43124828815348,HOLD,282.7857142857143,280.0044659214735,275.3333333333333,SELL,SELL,SELL
2016-12-26,184.0,184.0,184.0,3.026,34.440522155073126,HOLD,15.0,46.458333333333336,BUY,-85.0,BUY,-192.37958303378872,BUY,79.95823001197743,HOLD,274.5,267.2038704652771,262.1619047619048,SELL,SELL,SELL
2017-05-01,179.0,179.0,179.0,609.0,33.9004288609097,HOLD,11.875,17.083333333333332,BUY,-88.125,BUY,-159.10553410553402,BUY,60.94497251724588,HOLD,265.2857142857143,255.44335440324014,249.42857142857142,SELL,SELL,SELL
2017-05-08,174.0,174.0,174.0,200.0,33.337419365469174,HOLD,8.75,11.875,BUY,-91.25,BUY,-137.46287653797197,BUY,58.45329960617145,HOLD,256.2857142857143,244.58424048280813,237.25714285714287,SELL,SELL,SELL
2017-05-29,170.0,170.0,170.0,577.0,32.86714940667679,HOLD,6.25,8.958333333333334,BUY,-93.75,BUY,-121.50496070094064,BUY,29.735178889529124,HOLD,246.42857142857142,234.63967508510038,225.75238095238092,SELL,SELL,SELL
2017-07-03,170.0,170.0,170.0,150.0,32.86714940667679,HOLD,6.25,7.083333333333333,BUY,-93.75,BUY,-106.01649684619115,BUY,29.735178889529124,HOLD,236.57142857142858,226.02105174042035,215.56190476190474,SELL,SELL,SELL
2017-10-09,170.0,170.0,170.0,400.0,32.86714940667679,HOLD,6.25,6.25,BUY,-93.75,BUY,-93.57744841615809,HOLD,29.735178889529124,HOLD,226.71428571428572,218.55157817503098,206.68571428571425,SELL,SELL,SELL
2017-10-23,170.0,170.0,170.0,75.0,32.86714940667679,HOLD,6.25,6.25,BUY,-93.75,BUY,-83.75778155065082,HOLD,29.735178889529124,HOLD,216.85714285714286,212.0780344183602,199.12380952380948,SELL,SELL,SELL
2017-10-30,170.0,170.0,170.0,400.0,32.86714940667679,HOLD,6.25,6.25,BUY,-93.75,BUY,-76.19372054732301,HOLD,40.42631105203184,HOLD,217.57142857142858,206.4676298292455,192.87619047619043,SELL,SELL,SELL
2017-12-04,170.0,170.0,170.0,1.024,32.86714940667679,HOLD,0.0,4.166666666666667,BUY,-100.0,BUY,-70.11454356126346,HOLD,27.479981098629764,HOLD,211.42857142857142,201.60527918534612,186.5333333333333,SELL,SELL,SELL
2018-03-05,170.0,170.0,170.0,323.0,32.86714940667679,HOLD,0.0,2.0833333333333335,BUY,-100.0,BUY,-65.40007307270733,HOLD,11.25328727094572,BUY,205.28571428571428,197.39124196063332,181.00952380952378,SELL,SELL,SELL
2018-09-10,170.0,170.0,170.0,4.182,32.86714940667679,HOLD,0.0,0.0,BUY,-100.0,BUY,-60.86617245415532,HOLD,0.6522986155222696,BUY,195.42857142857142,193.73907636588223,176.3047619047619,SELL,SELL,SELL
2018-12-10,170.0,170.0,170.0,3.249,32.86714940667679,HOLD,0.0,0.0,BUY,-100.0,BUY,-56.63189269746648,HOLD,0.0,BUY,184.71428571428572,190.5738661837646,172.91428571428568,SELL,SELL,SELL
2018-12-17,170.0,170.0,170.0,712.0,32.8671494066768,HOLD,0.0,0.0,BUY,-100.0,BUY,-53.26876513317192,HOLD,0.0,BUY,174.0,187.83068402592934,170.95238095238096,SELL,SELL,SELL
2018-12-31,120.0,120.0,120.0,641.0,23.991061882879364,BUY,0.0,0.0,BUY,-100.0,BUY,-121.79782175180245,BUY,0.0,BUY,168.35714285714286,178.7865928224721,163.75238095238095,SELL,SELL,SELL
2019-01-21,182.0,182.0,182.0,100.0,44.137090849146674,HOLD,100.0,33.333333333333336,SELL,-0.0,SELL,-24.256837098692053,HOLD,5.400256957281599,BUY,168.21428571428572,179.21504711280915,165.57142857142856,BUY,BUY,BUY
2019-02-04,180.0,180.0,180.0,356.0,43.73440074386679,HOLD,96.7741935483871,65.59139784946237,SELL,-3.225806451612903,SELL,-23.872679045092838,HOLD,6.230956212126401,BUY,168.28571428571428,179.31970749776792,167.14285714285714,BUY,BUY,BUY
2019-03-11,180.0,180.0,180.0,1.638,43.73440074386679,HOLD,96.7741935483871,97.8494623655914,SELL,-3.225806451612903,SELL,-17.77324956132902,HOLD,7.073730032259306,BUY,168.71428571428572,179.4104131647322,168.7047619047619,BUY,BUY,BUY
2019-04-01,180.0,180.0,180.0,512.0,43.73440074386679,HOLD,96.7741935483871,96.7741935483871,SELL,-3.225806451612903,SELL,-3.1376891842007906,HOLD,11.4321608040201,BUY,169.42857142857142,179.48902474276792,170.2095238095238,BUY,BUY,BUY
2019-04-08,180.0,180.0,180.0,243.0,43.73440074386679,HOLD,96.7741935483871,96.7741935483871,SELL,-3.225806451612903,SELL,44.396318354087754,HOLD,11.4321608040201,BUY,170.14285714285714,179.55715477706553,171.61904761904762,BUY,BUY,BUY
2019-04-15,180.0,180.0,180.0,1.574,43.73440074386679,HOLD,96.7741935483871,96.7741935483871,SELL,-3.225806451612903,SELL,75.11080009330546,HOLD,11.4321608040201,BUY,170.85714285714286,179.61620080679015,172.93333333333334,BUY,BUY,BUY
2019-05-27,311.0,311.0,198.0,14.0,69.84095505869269,HOLD,100.0,97.8494623655914,SELL,-0.0,SELL,525.2935862691958,SELL,13.511082031569472,BUY,180.92857142857142,197.13404069921813,191.61904761904762,BUY,BUY,BUY
2019-06-24,302.0,302.0,302.0,442.0,67.52295241510839,HOLD,95.28795811518324,97.35405055452345,SELL,-4.712041884816754,SELL,378.7926842160906,SELL,52.44690466447524,HOLD,190.35714285714286,211.11616860598906,207.76190476190476,BUY,BUY,BUY
2019-12-02,293.0,293.0,293.0,100.0,65.19278059617866,HOLD,90.57591623036649,95.28795811518324,SELL,-9.424083769633508,SELL,230.05082475550898,SELL,47.73037919773447,HOLD,199.14285714285714,222.03401279185718,221.44761904761904,BUY,BUY,BUY
2021-09-06,335.0,335.0,335.0,10.0,70.3372379811516,SELL,100.0,95.28795811518324,SELL,-0.0,SELL,221.38586376254528,SELL,48.262348073180064,HOLD,210.92857142857142,237.09614441960957,239.56190476190474,BUY,BUY,BUY
2022-03-14,309.0,309.0,309.0,5.0,64.0283701241429,HOLD,87.90697674418605,92.82763099151752,SELL,-12.093023255813954,SELL,142.15471167369907,SELL,48.036874683127095,HOLD,220.85714285714286,246.68332516366164,252.63809523809527,BUY,BUY,BUY
